ppd_id,planname,ppd_zipcode
223,Kansas City (MO) Fire,64106
224,Pittsburgh Fire,15219
225,Birmingham Police and Fire,35222
226,Miami General and Sanitation Employees,33133
227,New Orleans Firefighters,70124
228,Kansas City (MO) Civilian,64106
229,Charlotte (NC) Law Enforcement,27604
230,Bismarck Police Plan,58506
231,Charleston (WV) Police,25301
232,Sioux Falls Fire,57117
233,Arkansas Police and Fire,72201
234,Delaware Police and Fire,19904
